title,artists,year,youtube_query
Ruby Tuesday,The Rolling Stones,1967,Ruby Tuesday The Rolling Stones
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,1967,Somethin' Stupid Nancy Sinatra & Frank Sinatra
The Letter,The Box Tops,1967,The Letter The Box Tops
To Sir With Love,Lulu,1967,To Sir With Love Lulu
Windy,The Association,1967,Windy The Association
(Sittin' On) The Dock Of The Bay,Otis Redding,1968,(Sittin' On) The Dock Of The Bay Otis Redding
Crimson And Clover,Tommy James And The Shondells,1968,Crimson And Clover Tommy James And The Shondells
Everyday People,Sly & The Family Stone,1968,Everyday People Sly & The Family Stone
Grazing In The Grass,Hugh Masekela,1968,Grazing In The Grass Hugh Masekela
Harper Valley P.T.A.,Jeannie C. Riley,1968,Harper Valley P.T.A. Jeannie C. Riley
Hey Jude,The Beatles,1968,Hey Jude The Beatles
Honey,Bobby Goldsboro,1968,Honey Bobby Goldsboro
I Heard It Through The Grapevine,Marvin Gaye,1968,I Heard It Through The Grapevine Marvin Gaye
Love Child,Diana Ross & The Supremes,1968,Love Child Diana Ross & The Supremes
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,1968,Love Is Blue (L'amour Est Bleu) Paul Mauriat And His Orchestra
Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson Simon & Garfunkel
People Got To Be Free,The Rascals,1968,People Got To Be Free The Rascals
This Guy's In Love With You,Herb Alpert,1968,This Guy's In Love With You Herb Alpert
Tighten Up,Archie Bell & The Drells,1968,Tighten Up Archie Bell & The Drells
Aquarius/Let The Sunshine In,The 5th Dimension,1969,Aquarius/Let The Sunshine In The 5th Dimension
Come Together/Something,The Beatles,1969,Come Together/Something The Beatles
Dizzy,Tommy Roe,1969,Dizzy Tommy Roe
Honky Tonk Women,The Rolling Stones,1969,Honky Tonk Women The Rolling Stones
I Can't Get Next To You,The Temptations,1969,I Can't Get Next To You The Temptations
I Want You Back,Jackson 5,1969,I Want You Back Jackson 5
Leaving On A Jet Plane,"Peter, Paul & Mary",1969,"Leaving On A Jet Plane Peter, Paul & Mary"
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,1969,Love Theme From Romeo & Juliet Henry Mancini And His Orchestra
Na Na Hey Hey Kiss Him Goodbye,Steam,1969,Na Na Hey Hey Kiss Him Goodbye Steam
Raindrops Keep Fallin' On My Head,B.J. Thomas,1969,Raindrops Keep Fallin' On My Head B.J. Thomas
Someday We'll Be Together,Diana Ross & The Supremes,1969,Someday We'll Be Together Diana Ross & The Supremes
"Sugar, Sugar",The Archies,1969,"Sugar, Sugar The Archies"
Suspicious Minds,Elvis Presley,1969,Suspicious Minds Elvis Presley
Wedding Bell Blues,The 5th Dimension,1969,Wedding Bell Blues The 5th Dimension
(They Long To Be) Close To You,Carpenters,1970,(They Long To Be) Close To You Carpenters
Ain't No Mountain High Enough,Diana Ross,1970,Ain't No Mountain High Enough Diana Ross
American Woman/No Sugar Tonight,The Guess Who,1970,American Woman/No Sugar Tonight The Guess Who
Bridge Over Troubled Water,Simon & Garfunkel,1970,Bridge Over Troubled Water Simon & Garfunkel
Cracklin' Rosie,Neil Diamond,1970,Cracklin' Rosie Neil Diamond
Everything Is Beautiful,Ray Stevens,1970,Everything Is Beautiful Ray Stevens
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1970,I Think I Love You The Partridge Family Starring Shirley Jones Featuring David Cassidy
I'll Be There,Jackson 5,1970,I'll Be There Jackson 5
Knock Three Times,Dawn,1970,Knock Three Times Dawn
Let It Be,The Beatles,1970,Let It Be The Beatles
Make It With You,Bread,1970,Make It With You Bread
Mama Told Me (Not To Come),Three Dog Night,1970,Mama Told Me (Not To Come) Three Dog Night
The Tears Of A Clown,Smokey Robinson & The Miracles,1970,The Tears Of A Clown Smokey Robinson & The Miracles
War,Edwin Starr,1970,War Edwin Starr
American Pie (Parts I & II),Don McLean,1971,American Pie (Parts I & II) Don McLean
Brand New Key,Melanie,1971,Brand New Key Melanie
"Gypsys, Tramps & Thieves",Cher,1971,"Gypsys, Tramps & Thieves Cher"
How Can You Mend A Broken Heart,Bee Gees,1971,How Can You Mend A Broken Heart Bee Gees
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,1971,Indian Reservation (The Lament Of The Cherokee Reservation Indian) The Raiders
It's Too Late/I Feel The Earth Move,Carole King,1971,It's Too Late/I Feel The Earth Move Carole King
Joy To The World,Three Dog Night,1971,Joy To The World Three Dog Night
Just My Imagination (Running Away With Me),The Temptations,1971,Just My Imagination (Running Away With Me) The Temptations
Let's Stay Together,Al Green,1971,Let's Stay Together Al Green
Maggie May/Reason To Believe,Rod Stewart,1971,Maggie May/Reason To Believe Rod Stewart
Me And Bobby McGee,Janis Joplin,1971,Me And Bobby McGee Janis Joplin
One Bad Apple,The Osmonds,1971,One Bad Apple The Osmonds
Want Ads,The Honey Cone,1971,Want Ads The Honey Cone
Without You,Nilsson,1971,Without You Nilsson
Alone Again (Naturally),Gilbert O'Sullivan,1972,Alone Again (Naturally) Gilbert O'Sullivan
Baby Don't Get Hooked On Me,Mac Davis,1972,Baby Don't Get Hooked On Me Mac Davis
Ben,Michael Jackson,1972,Ben Michael Jackson
Brandy (You're A Fine Girl),Looking Glass,1972,Brandy (You're A Fine Girl) Looking Glass
Crocodile Rock,Elton John,1972,Crocodile Rock Elton John
I Am Woman,Helen Reddy,1972,I Am Woman Helen Reddy
I Can See Clearly Now,Johnny Nash,1972,I Can See Clearly Now Johnny Nash
Lean On Me,Bill Withers,1972,Lean On Me Bill Withers
Me And Mrs. Jones,Billy Paul,1972,Me And Mrs. Jones Billy Paul
My Ding-A-Ling,Chuck Berry,1972,My Ding-A-Ling Chuck Berry
Papa Was A Rollin' Stone,The Temptations,1972,Papa Was A Rollin' Stone The Temptations
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation",1972,"The Candy Man Sammy Davis, Jr. with The Mike Curb Congregation"
The First Time Ever I Saw Your Face,Roberta Flack,1972,The First Time Ever I Saw Your Face Roberta Flack
You're So Vain,Carly Simon,1972,You're So Vain Carly Simon
